iter	Passed	Remaining
948	6211	59243
949	6216	59218
950	6221	59203
951	6227	59189
952	6233	59172
953	6237	59146
954	6243	59134
955	6248	59115
956	6254	59098
957	6260	59091
958	6266	59081
959	6274	59084
960	6280	59070
961	6284	59046
962	6302	59142
963	6311	59162
964	6317	59145
965	6326	59168
966	6331	59146
967	6341	59169
968	6349	59174
969	6358	59191
970	6362	59165
971	6367	59139
972	6376	59157
973	6381	59134
974	6391	59158
975	6396	59138
976	6405	59153
977	6409	59129
978	6414	59104
979	6423	59117
980	6427	59092
981	6432	59069
982	6441	59086
983	6445	59060
984	6455	59084
985	6460	59062
986	6469	59079
987	6474	59059
988	6479	59035
989	6489	59057
990	6494	59036
991	6501	59041
992	6506	59015
993	6510	58989
994	6516	58980
995	6521	58954
996	6525	58929
997	6532	58925
998	6537	58903
999	6542	58879
1000	6548	58868
1001	6552	58844
1002	6557	58823
1003	6563	58810
1004	6568	58785
1005	6573	58765
1006	6578	58747
1007	6583	58730
1008	6589	58722
1009	6596	58716
1010	6602	58700
1011	6607	58680
1012	6615	58686
1013	6620	58673
1014	6625	58647
1015	6641	58727
1016	6652	58758
1017	6657	58742
1018	6665	58742
1019	6670	58723
1020	6676	58714
1021	6682	58705
1022	6688	58694
1023	6696	58700
1024	6701	58677
1025	6705	58654
1026	6712	58647
1027	6717	58624
1028	6722	58603
1029	6730	58612
1030	6734	58588
1031	6742	58594
1032	6747	58572
1033	6752	58550
1034	6760	58556
1035	6764	58533
1036	6770	58519
1037	6779	58530
1038	6784	58516
1039	6791	58514
1040	6798	58506
1041	6802	58483
1042	6810	58486
1043	6815	58467
1044	6823	58470
1045	6828	58457
1046	6833	58438
1047	6843	58455
1048	6848	58436
1049	6854	58428
1050	6859	58405
1051	6864	58388
1052	6870	58379
1053	6875	58358
1054	6880	58336
1055	6885	58321
1056	6891	58303
1057	6896	58288
1058	6903	58281
1059	6907	58259
1060	6912	58238
1061	6919	58232
1062	6925	58223
1063	6930	58202
1064	6936	58193
1065	6940	58169
1066	6945	58144
1067	6951	58134
1068	6955	58110
1069	6959	58086
1070	6965	58075
1071	6970	58056
1072	6975	58035
1073	6981	58023
1074	6986	58000
1075	6991	57982
1076	6995	57959
1077	7002	57951
1078	7006	57931
1079	7011	57907
1080	7017	57901
1081	7022	57883
1082	7027	57861
1083	7033	57849
1084	7037	57827
1085	7042	57803
1086	7048	57793
1087	7052	57771
1088	7057	57747
1089	7064	57745
1090	7068	57723
1091	7073	57701
1092	7079	57692
1093	7084	57671
1094	7088	57650
1095	7095	57641
1096	7100	57624
1097	7105	57607
1098	7114	57625
1099	7119	57603
1100	7127	57607
1101	7132	57589
1102	7136	57567
1103	7142	57557
1104	7147	57538
1105	7152	57516
1106	7157	57501
1107	7162	57483
1108	7167	57466
1109	7174	57456
1110	7178	57435
1111	7184	57424
1112	7190	57413
1113	7195	57393
1114	7200	57378
1115	7206	57365
1116	7211	57348
1117	7216	57333
1118	7222	57325
1119	7228	57309
1120	7232	57289
1121	7238	57278
1122	7243	57257
1123	7247	57235
1124	7252	57212
1125	7257	57197
1126	7262	57178
1127	7267	57158
1128	7273	57149
1129	7278	57132
1130	7282	57109
1131	7290	57113
1132	7296	57100
